id,district_id,name_en,postcode,latitude,longitude
472,Gampaha,Bemmulla,11040,7.1131318,80.0271893
473,Gampaha,Biyagama IPZ,11672,6.962284,80.0090367
474,Gampaha,Bokalagama,11216,7.2153207,80.102926
475,Gampaha,Bollete (WP),11024,7.0840484,80.0098314
476,Gampaha,Bopagama,11134,7.0713069,80.163696
477,Gampaha,Buthpitiya,11720,7.0547003,80.0532264
478,Gampaha,Dagonna,11524,7.2100549,79.9164717
479,Gampaha,Danowita,11896,7.2208777,80.1679758
480,Gampaha,Debahera,11889,7.1579747,80.1498362
481,Gampaha,Dekatana,11690,6.9702324,80.0424192
482,Gampaha,Delgoda,11700,6.9892885,80.0143766
483,Gampaha,Delwagura,11228,7.2652482,80.005979
484,Gampaha,Demalagama,11692,6.9912763,80.0520952
485,Gampaha,Demanhandiya,11270,7.2243879,79.8845135
486,Gampaha,Dewalapola,11102,7.1612037,79.9919995
487,Gampaha,Divulapitiya,11250,7.2303143,80.016474
488,Gampaha,Divuldeniya,11208,7.2807254,80.0437123
489,Gampaha,Dompe,11680,6.9403947,80.0771962
490,Gampaha,Dunagaha,11264,7.2220533,79.9780178
491,Gampaha,Ekala,11380,7.1022913,79.9094751
492,Gampaha,Ellakkala,11116,7.141665,80.1330885
493,Gampaha,Essella,11108,7.1765135,80.0254696
494,Gampaha,Galedanda,90206,6.9648642,79.9318623
495,Gampaha,Gampaha,11000,7.0840484,80.0098314
496,Gampaha,Ganemulla,11020,7.082719,79.9482548
497,Gampaha,Giriulla,60140,7.3486749,80.1380195
498,Gampaha,Gonawala,11630,6.9541703,79.9366187
499,Gampaha,Halpe,70145,7.2622107,79.9290642
500,Gampaha,Hapugastenna,70164,6.740544,80.1888173
501,Gampaha,Heiyanthuduwa,11618,6.9718768,79.9737642
502,Gampaha,Hinatiyana Madawala,11568,7.1501572,79.9122738
503,Gampaha,Hiswella,11734,7.0201574,80.1637901
504,Gampaha,Horampella,11564,7.1702315,79.9794161
505,Gampaha,Hunumulla,11262,7.233651,79.989309
506,Gampaha,Hunupola,60582,7.6142188,80.3895248
507,Gampaha,Ihala Madampella,11265,7.2489535,79.9537193
508,Gampaha,Imbulgoda,11856,7.087046,80.0175104
509,Gampaha,Ja-Ela,11350,7.0857596,79.9254445
510,Gampaha,Kadawatha,11850,7.0046719,79.9542002
511,Gampaha,Kahatowita,11144,7.0974551,80.112239
512,Gampaha,Kalagedihena,11875,7.1201435,80.0590804
513,Gampaha,Kaleliya,11160,7.1970231,80.1107531
514,Gampaha,Kandana,11320,7.0477897,79.8970348
515,Gampaha,Katana,11534,7.2480284,79.8993665
516,Gampaha,Katudeniya,21016,7.438319,80.6415452
517,Gampaha,Katunayake,11450,7.1724849,79.8853484
518,Gampaha,Katunayake Air Force Camp,11440,7.1828293,79.867739
519,Gampaha,Katunayake(FTZ),11420,7.1736603,79.8868861
520,Gampaha,Katuwellegama,11526,7.1997133,79.9497668
521,Gampaha,Kelaniya,11600,6.9782137,79.9115522
